Metal,Substrate,theta,Temp,Me_MagpieData mean Number,Me_MagpieData mean MendeleevNumber,Me_MagpieData mean AtomicWeight,Me_MagpieData mean MeltingT,Me_MagpieData mean Column,Me_MagpieData mean Row,Me_MagpieData mean CovalentRadius,Me_MagpieData mean Electronegativity,Me_MagpieData mean NsValence,Me_MagpieData mean NpValence,Me_MagpieData mean NdValence,Me_MagpieData mean NfValence,Me_MagpieData mean NValence,Me_MagpieData mean NsUnfilled,Me_MagpieData mean NpUnfilled,Me_MagpieData mean NdUnfilled,Me_MagpieData mean NUnfilled,Me_MagpieData mean GSvolume_pa,Me_MagpieData mean GSbandgap,Me_MagpieData mean GSmagmom,Me_MagpieData mean SpaceGroupNumber,Ce_MagpieData mean Number,Ce_MagpieData mean MendeleevNumber,Ce_MagpieData mean AtomicWeight,Ce_MagpieData mean MeltingT,Ce_MagpieData mean Column,Ce_MagpieData mean Row,Ce_MagpieData mean CovalentRadius,Ce_MagpieData mean Electronegativity,Ce_MagpieData mean NsValence,Ce_MagpieData mean NpValence,Ce_MagpieData mean NdValence,Ce_MagpieData mean NfValence,Ce_MagpieData mean NValence,Ce_MagpieData mean NsUnfilled,Ce_MagpieData mean NpUnfilled,Ce_MagpieData mean NdUnfilled,Ce_MagpieData mean NfUnfilled,Ce_MagpieData mean NUnfilled,Ce_MagpieData mean GSvolume_pa,Ce_MagpieData mean GSbandgap,Ce_MagpieData mean GSmagmom,Ce_MagpieData mean SpaceGroupNumber
Ni0.92Al0.08,Al2O3,134,1755,26.8,61.96,56.15645109,1664.4376,10.24,3.92,123.76,1.886,2,0.08,7.36,0,9.44,0,0.4,1.84,2.24,10.8128,0,0.547763124,225,10,81.4,20.39225544,406.268,14.8,2.4,88,2.708,2,2.8,0,0,4.8,0,3.2,0,0,3.2,12.055,0,0,97.2
Ni0.75Al0.25,Al2O3,94,1670,24.25,64,50.76543465,1529.3675,10.75,3.75,123.25,1.835,2,0.25,6,0,8.25,0,1.25,1.5,2.75,11.86,0,0.446546025,225,10,81.4,20.39225544,406.268,14.8,2.4,88,2.708,2,2.8,0,0,4.8,0,3.2,0,0,3.2,12.055,0,0,97.2
Ni,Al2O3,108,1773,28,61,58.6934,1728,10,4,124,1.91,2,0,8,0,10,0,0,2,2,10.32,0,0.5953947,225,10,81.4,20.39225544,406.268,14.8,2.4,88,2.708,2,2.8,0,0,4.8,0,3.2,0,0,3.2,12.055,0,0,97.2
Ni,Al2O3,110,1773,28,61,58.6934,1728,10,4,124,1.91,2,0,8,0,10,0,0,2,2,10.32,0,0.5953947,225,10,81.4,20.39225544,406.268,14.8,2.4,88,2.708,2,2.8,0,0,4.8,0,3.2,0,0,3.2,12.055,0,0,97.2
Ni,Al2O3,107,1853,28,61,58.6934,1728,10,4,124,1.91,2,0,8,0,10,0,0,2,2,10.32,0,0.5953947,225,10,81.4,20.39225544,406.268,14.8,2.4,88,2.708,2,2.8,0,0,4.8,0,3.2,0,0,3.2,12.055,0,0,97.2
Ni,Al2O3,109,1755,28,61,58.6934,1728,10,4,124,1.91,2,0,8,0,10,0,0,2,2,10.32,0,0.5953947,225,10,81.4,20.39225544,406.268,14.8,2.4,88,2.708,2,2.8,0,0,4.8,0,3.2,0,0,3.2,12.055,0,0,97.2
Ni,Al2O3,112,1750,28,61,58.6934,1728,10,4,124,1.91,2,0,8,0,10,0,0,2,2,10.32,0,0.5953947,225,10,81.4,20.39225544,406.268,14.8,2.4,88,2.708,2,2.8,0,0,4.8,0,3.2,0,0,3.2,12.055,0,0,97.2
Ni0.97Al0.03,Al2O3,95,1750,27.55,61.36,57.74204416,1704.1641,10.09,3.97,123.91,1.901,2,0.03,7.76,0,9.79,0,0.15,1.94,2.09,10.5048,0,0.577532859,225,10,81.4,20.39225544,406.268,14.8,2.4,88,2.708,2,2.8,0,0,4.8,0,3.2,0,0,3.2,12.055,0,0,97.2
Ni0.75Al0.25,Al2O3,83,1750,24.25,64,50.76543465,1529.3675,10.75,3.75,123.25,1.835,2,0.25,6,0,8.25,0,1.25,1.5,2.75,11.86,0,0.446546025,225,10,81.4,20.39225544,406.268,14.8,2.4,88,2.708,2,2.8,0,0,4.8,0,3.2,0,0,3.2,12.055,0,0,97.2
Al,Al2O3,65,1750,13,73,26.9815386,933.47,13,3,121,1.61,2,1,0,0,3,0,5,0,5,16.48,0,0,225,10,81.4,20.39225544,406.268,14.8,2.4,88,2.708,2,2.8,0,0,4.8,0,3.2,0,0,3.2,12.055,0,0,97.2
Cu0.425Pd0.425Ti0.15,Al2O3,128,1423,35.175,60,79.4156,1645.1235,9.525,4.425,139.175,1.9735,0.725,0,8.8,0,9.525,0.425,0,1.2,1.625,13.3325,0,3.38E-06,220.35,10,81.4,20.39225544,406.268,14.8,2.4,88,2.708,2,2.8,0,0,4.8,0,3.2,0,0,3.2,12.055,0,0,97.2
Cu0.425Pd0.425Ti0.15,Ti2O3,113,1423,35.175,60,79.4156,1645.1235,9.525,4.425,139.175,1.9735,0.725,0,8.8,0,9.525,0.425,0,1.2,1.625,13.3325,0,3.38E-06,220.35,13.6,69.4,28.74644,809.28,11.2,2.8,103.6,2.68,2,2.4,0.8,0,5.2,0,1.2,3.2,0,4.4,12.139,0,9.01E-06,84.8
Cu0.425Pd0.425Ti0.15,Ti1O1.14,82,1423,35.175,60,79.4156,1645.1235,9.525,4.425,139.175,1.9735,0.725,0,8.8,0,9.525,0.425,0,1.2,1.625,13.3325,0,3.38E-06,220.35,14.54205607,66.43925234,30.89080187,936.2018692,10.39252336,2.934579439,109.9252336,2.552149533,2,2.130841121,0.934579439,0,5.065420561,0,1.065420561,3.738317757,0,4.803738318,12.64939252,0,1.05E-05,97.04672897
