Metal,Ceramic,Testing temperature (K),Wetting angle
Ni,Al2O3,1853,107
Ni,Al2O3,1755,109
Ni,Al2O3,1750,112
Ni0.97Al0.03,Al2O3,1750,95
Ni0.75Al0.25,Al2O3,1750,83
Al,Al2O3,1750,65
Cu0.425Pd0.425Ti0.15,Al2O3,1423,128
Cu0.425Pd0.425Ti0.15,Ti2O3,1423,113
Cu0.425Pd0.425Ti0.15,Ti1O1.14,1423,82
Cu0.425Pd0.425Ti0.15,Ti1O0.86,1423,72
Ni0.5Pd0.5,Al2O3,1523,112.075347
Ni0.49Pd0.491Ti0.019,Al2O3,1523,103.8730998
Ni0.492Pd0.492Ti0.016,Al2O3,1523,98.26173166
Ni0.486Pd0.486Ti0.028,Al2O3,1523,94.85789822
Ni0.471Pd0.471Ti0.058,Al2O3,1523,97.02247191
Ni0.464Pd0.465Ti0.071,Al2O3,1523,96.14342366
Ni0.453Pd0.453Ti0.094,Al2O3,1523,81.18968936
Ni0.442Pd0.442Ti0.116,Al2O3,1523,76.07072042
Ni0.434Pd0.435Ti0.131,Al2O3,1523,69.28949108
Ni0.424Pd0.425Ti0.151,Al2O3,1523,72.32319894
Ni0.412Pd0.412Ti0.176,Al2O3,1523,68.31791143
Ni0.4Pd0.4Ti0.2,Al2O3,1523,57.57766028
Ni0.384Pd0.385Ti0.231,Al2O3,1523,50.46926636
Ni0.374Pd0.375Ti0.251,Al2O3,1523,50.69398546
Ni,Al2O3,1773,111
Ni0.95Cr0.05,Al2O3,1773,98
Ni0.9Cr0.1,Al2O3,1773,91
Ni0.85Cr0.15,Al2O3,1773,89
Ni0.8Cr0.2,Al2O3,1773,89
Al,Al2O3,933,103
Au,Al2O3,1423,120
Co,Al2O3,1803,113
Ge,Al2O3,1423,104
Mn,Al2O3,1823,103
Pd,Al2O3,1873,120
Co,Al2O3,1793,115
Co,Co1O1,1773,70
Co,Zr1O2,1773,118
Fe,Al2O3,1848,111
Fe,Be1O1,1823,127
Fe,Ca1O1,1823,132
Fe,Cr2O3,1823,88
Fe,Mg1O1,1823,123
Fe,U1O2,1823,123
Fe,Zr1O2,1933,115
Ni,Al2O3,1808,111
Ni,Be1O1,1823,127
Ni,Ca1O1,1773,135
Ni,Co1O1,1773,58
Ni,Mg1O1,1823,132
Ni,Ni1O1,1773,60
Ni,Si1O2,1773,125
Ni,Ti1O2,1773,105
Ni,U1O2,1773,112
Ni,Zr1O2,1743,121
Ni,Al2O3,1823,108
Ni,Al2O3,1730,112
Sn,Co1O1,1173,0.079470199
Sn,Ni1O1,1273,26.73377483
Sn,Yb2O3,1423,79.60529801
Sn,Lu2O3,1423,88.12715232
Sn,Al2O3,1273,120
Sn,Mg1O1,505,121
Sn,Si1O2,505,124
Sn,Zr1O2,1073,135.4728477
Ni,Mg1O1,1773,132.4
Ni,Mg0.9Co0.1O1,1773,127.6
Ni,Mg0.7Co0.3O1,1773,124
Ni,Mg0.5Co0.5O1,1773,122
Ni,Mg0.3Co0.7O1,1773,112
Ni,Mg0.1Co0.9O1,1773,74.4
Ni,CuO2,1773,58
Sn,Ni1O1,1275,27
Ti,Mg1O1,2000,0
Al,Si1O2,1073,90
Ga,Al2O3,305,129.7829634
Ga,Al2O3,438,127.8361619
Ga,Al2O3,583,126.3609661
Ga,Al2O3,773,124.2901436
Ga,Al2O3,973,121.6057441
Ga,Al2O3,1173,119.3798956
Ga,Si1O2,313,130.8730418
Ga,Si1O2,437,129.5414491
Ga,Si1O2,589,127.9144909
Ga,Si1O2,773,125.9970627
Ga,Si1O2,973,123.9343995
Ga,Si1O2,1173,121.8603133
Ga0.908Ni0.092,Si1O2,866,137
Ga0.908Ni0.092,Si1O2,971,136
Ga0.908Ni0.092,Si1O2,1076,136
Ga0.908Ni0.092,Si1O2,1169,135
Ga0.721Ag0.279,Si1O2,874,135
Ga0.721Ag0.279,Si1O2,974,132
Ga0.721Ag0.279,Si1O2,1072,130
Ga0.721Ag0.279,Si1O2,1171,126
Ga0.63Sn0.37,Si1O2,582,130
Ga0.63Sn0.37,Si1O2,785,127
Ga0.63Sn0.37,Si1O2,989,123
Ga0.63Sn0.37,Si1O2,1161,119
Ga0.353In0.647,Si1O2,440,127
Ga0.353In0.647,Si1O2,589,125
Ga0.353In0.647,Si1O2,784,121
Ga0.353In0.647,Si1O2,983,118
Ga0.353In0.647,Si1O2,1187,116
Ga,Al2O3,1173,121
Ga0.985Cr0.015,Al2O3,1173,119
Ga0.972Cr0.028,Al2O3,1173,121
Ga0.961Cr0.039,Al2O3,1173,118
Ga0.947Cr0.053,Al2O3,1173,120
Ga0.939Cr0.061,Al2O3,1173,118
Ga0.921Cr0.079,Al2O3,1173,120
Ga0.917Cr0.083,Al2O3,1173,117
Ga0.898Cr0.102,Al2O3,1173,120
Ga,Al2O3,1323,117
Ga0.975Cr0.025,Al2O3,1323,115
Ga0.944Cr0.056,Al2O3,1323,114
Ga0.904Cr0.096,Al2O3,1323,114
Ga0.884Cr0.116,Al2O3,1323,114
Ga0.872Cr0.128,Al2O3,1323,114
Ga0.851Cr0.149,Al2O3,1323,112
Ga0.824Cr0.176,Al2O3,1323,111
Ga0.808Cr0.192,Al2O3,1323,111
Ga0.784Cr0.216,Al2O3,1323,110
Ga0.995V0.005,Al2O3,1173,109
Ga0.993V0.007,Al2O3,1173,104
Ga0.99V0.01,Al2O3,1173,103
Ga0.986V0.014,Al2O3,1173,101
Ga0.982V0.018,Al2O3,1173,97
Ga0.979V0.021,Al2O3,1173,96
Ga0.996V0.004,Al2O3,1323,106
Ga0.994V0.006,Al2O3,1323,99
Ga0.993V0.007,Al2O3,1323,97
Ga0.988V0.012,Al2O3,1323,94
Ga0.983V0.017,Al2O3,1323,92
Ga0.997Ti0.003,Al2O3,1173,98
Ga0.996Ti0.004,Al2O3,1173,93
Ga0.995Ti0.005,Al2O3,1173,91
Ga0.993Ti0.007,Al2O3,1173,87
Ga0.99Ti0.01,Al2O3,1173,80
Ga0.988Ti0.012,Al2O3,1173,78
Ga0.98Ti0.02,Al2O3,1173,77
Ga0.979Ti0.021,Al2O3,1173,74
Ga0.975Ti0.025,Al2O3,1173,74
Ga0.972Ti0.028,Al2O3,1173,76
Ga0.957Ti0.043,Al2O3,1173,75
Ga0.95Ti0.05,Al2O3,1173,74
Ga0.997Ti0.003,Al2O3,1323,83
Ga0.996Ti0.004,Al2O3,1323,74
Ga0.992Ti0.008,Al2O3,1323,72
Ga0.991Ti0.009,Al2O3,1323,70
Ga0.989Ti0.011,Al2O3,1323,65
Ga0.981Ti0.019,Al2O3,1323,63
Ga0.976Ti0.024,Al2O3,1323,62
Ga0.963Ti0.037,Al2O3,1323,56
Ga0.954Ti0.046,Al2O3,1323,63
Ga0.937Ti0.063,Al2O3,1323,58
Ga0.922Ti0.078,Al2O3,1323,62
Ga0.916Ti0.084,Al2O3,1323,56
Ga0.9Ti0.1,Al2O3,1323,62
Ga0.89Ti0.11,Al2O3,1323,63
Ga0.885Ti0.115,Al2O3,1323,56
Ga,Si1O2,1173,123
Ga0.987Cr0.013,Si1O2,1173,121
Ga0.978Cr0.022,Si1O2,1173,122
Ga0.966Cr0.034,Si1O2,1173,122
Ga0.94Cr0.06,Si1O2,1173,120
Ga0.931Cr0.069,Si1O2,1173,120
Ga0.917Cr0.083,Si1O2,1173,120
Ga0.904Cr0.096,Si1O2,1173,121
Ga0.901Cr0.099,Si1O2,1173,121
Ga,Si1O2,1323,120
Ga0.974Cr0.026,Si1O2,1323,119
Ga0.953Cr0.047,Si1O2,1323,118
Ga0.946Cr0.054,Si1O2,1323,119
Ga0.909Cr0.091,Si1O2,1323,117
Ga0.895Cr0.105,Si1O2,1323,117
Ga0.88Cr0.12,Si1O2,1323,117
Ga0.835Cr0.165,Si1O2,1323,116
Ga0.822Cr0.178,Si1O2,1323,119
Ga0.784Cr0.216,Si1O2,1323,118
Ga0.996V0.004,Si1O2,1173,115
Ga0.993V0.007,Si1O2,1173,116
Ga0.989V0.011,Si1O2,1173,115
Ga0.983V0.017,Si1O2,1173,114
Ga0.982V0.018,Si1O2,1173,112
Ga0.996V0.004,Si1O2,1323,114
Ga0.993V0.007,Si1O2,1323,114
Ga0.988V0.012,Si1O2,1323,114
Ga0.985V0.015,Si1O2,1323,113
Ga0.98V0.02,Si1O2,1323,114
Ga0.999Ti0.001,Si1O2,1173,97
Ga0.997Ti0.003,Si1O2,1173,90
Ga0.995Ti0.005,Si1O2,1173,88
Ga0.994Ti0.006,Si1O2,1173,84
Ga0.992Ti0.008,Si1O2,1173,75
Ga0.99Ti0.01,Si1O2,1173,68
Ga0.986Ti0.014,Si1O2,1173,64
Ga0.981Ti0.019,Si1O2,1173,62
Ga0.975Ti0.025,Si1O2,1173,61
Ga0.962Ti0.038,Si1O2,1173,58
Ga0.955Ti0.045,Si1O2,1173,58
Ga0.999Ti0.001,Si1O2,1323,89
Ga0.998Ti0.002,Si1O2,1323,77
Ga0.995Ti0.005,Si1O2,1323,67
Ga0.989Ti0.011,Si1O2,1323,62
Ga0.986Ti0.014,Si1O2,1323,62
Ga0.978Ti0.022,Si1O2,1323,59
Ga0.965Ti0.035,Si1O2,1323,57
Ga0.952Ti0.048,Si1O2,1323,55
Ga0.939Ti0.061,Si1O2,1323,56
Ga0.919Ti0.081,Si1O2,1323,55
Ga0.914Ti0.086,Si1O2,1323,54
Ga0.897Ti0.103,Si1O2,1323,55
Ga0.895Ti0.105,Si1O2,1323,53
Cu0.824Ga0.175Ti0.001,Al2O3,1323,131
Cu0.815Ga0.173Ti0.012,Al2O3,1323,98
Cu0.807Ga0.171Ti0.022,Al2O3,1323,88
Cu0.799Ga0.17Ti0.031,Al2O3,1323,79
Cu0.79Ga0.167Ti0.043,Al2O3,1323,66
Cu0.783Ga0.166Ti0.051,Al2O3,1323,57
Cu0.775Ga0.164Ti0.061,Al2O3,1323,50
Cu0.759Ga0.161Ti0.08,Al2O3,1323,46
